image_id,split,label
screenshot_2025-05-29_09-24-28_png_jpg.rf.79ce0b70c1f0ca37e5493bf7ed696013.jpg,train,Wet
screenshot_2025-05-29_11-24-46_png_jpg.rf.b684e988cfa844850daf893e639c2c8c.jpg,train,Wet
frame38800_jpg.rf.595c75edc00d8941fabfba61f3de2e8c.jpg,train,Wet
screenshot_2025-06-04_12-26-40_png_jpg.rf.daf945f237613d585fa91e704e320471.jpg,train,Wet
screenshot_2025-05-29_11-54-22_png_jpg.rf.3cee2c79b78fa0913ef65eb35fb82636.jpg,train,Wet
screenshot_2025-05-29_11-58-43_png_jpg.rf.561beefe2e31c8bd938f66e5d9bc2600.jpg,train,Wet
Test_Image_73810_jpg.rf.2ceffc09472c48c27dbf468086f7198a.jpg,train,Wet
Test_Image_53050_jpg.rf.91aa53dd9f9d862e9673d0e017948d0d.jpg,train,Wet
frame11600_jpg.rf.52790ac77fd3158b33ce89124a889dcb.jpg,train,Wet
frame35800_jpg.rf.a6c33db85a1afe8bb65468393d7f5b18.jpg,train,Wet
frame12800_jpg.rf.f7e13f270e77a82c57417bb925c27af9.jpg,train,Wet
Test_Image_54130_jpg.rf.e31922ea66fab0f826724c353b8a4c0b.jpg,train,Wet
frame50200_jpg.rf.4a05805a57b49f2e6149946198311ffc.jpg,train,Wet
screenshot_2025-05-29_11-52-30_png_jpg.rf.d0bdf86003d8ab5058788eba521574b6.jpg,train,Wet
screenshot_2025-05-29_11-35-32_png_jpg.rf.62abca8363b1c89a058890358860244d.jpg,train,Wet
screenshot_2025-05-29_12-01-16_png_jpg.rf.8a6668ab7c862bb1c2a5db7c6c935aeb.jpg,train,Wet
Test_Image_44955_jpg.rf.ee3860876c1be3752aeb881fab0ff8f5.jpg,train,Wet
screenshot_2025-05-29_10-50-55_png_jpg.rf.263f743c8e957dd69a820d16e35a2349.jpg,train,Wet
screenshot_2025-05-29_10-56-01_png_jpg.rf.2d365a8f0ab6b427511f4749025ff256.jpg,train,Wet
screenshot_2025-05-29_10-56-36_png_jpg.rf.b9acff1e0799f3d7a792c2094baa6c5f.jpg,train,Wet
screenshot_2025-05-29_11-52-42_png_jpg.rf.00af556a36704837926c6b35484d1f3c.jpg,train,Wet
screenshot_2025-05-29_10-56-24_png_jpg.rf.4c400ede5d5ad6a84e2036803f8dea65.jpg,train,Wet
screenshot_2025-05-29_11-59-11_png_jpg.rf.866e1431b6a26394c75399872fae5d78.jpg,train,Wet
screenshot_2025-05-29_12-14-05_png_jpg.rf.b39724db090cdf189688294b8fc0b1cd.jpg,train,Wet
frame2600_jpg.rf.78cfa367fdf21d2e8d3374f1b25a2705.jpg,train,Wet
frame34200_jpg.rf.b3e0a14080a1f61790ded2addd5d5f11.jpg,train,Wet
screenshot_2025-05-29_09-22-41_png_jpg.rf.1d4e381d8cc329b057a2cb7b3ceaa711.jpg,train,Wet
frame34400_jpg.rf.e20591328139c33c17b9d6c410336f78.jpg,train,Wet
Test_Image_92840_jpg.rf.09b24fc0ec721f91c012fc17d1dc6cd1.jpg,train,Wet
screenshot_2025-05-29_11-12-22_png_jpg.rf.050fe2bfc55dbbb9e386f572dd4d132d.jpg,train,Wet
frame33800_jpg.rf.145858b24f513c6dbc0d1133f042c2da.jpg,train,Wet
screenshot_2025-05-29_11-52-54_png_jpg.rf.afe2e704836ca953c8ff4cbf09f86ce0.jpg,train,Wet
screenshot_2025-05-29_10-49-03_png_jpg.rf.ae67720d8febb88ba279dd6787114db0.jpg,train,Wet
Test_Image_56520_jpg.rf.0fed4f80d0d8ef569a5c379a621f738f.jpg,train,Wet
screenshot_2025-05-29_11-15-18_png_jpg.rf.7d500189efefa2247ffb40a9ec6d8db9.jpg,train,Wet
